Product_Collection,Lithography,nb_of_Cores,Processor_Base_Frequency,TDP
6th Generation Intel® Core™ i5 Processors,14 nm,4,2.20 GHz,35 W
6th Generation Intel® Core™ i5 Processors,14 nm,4,2.70 GHz,65 W
6th Generation Intel® Core™ i5 Processors,14 nm,4,2.80 GHz,65 W
6th Generation Intel® Core™ i5 Processors,14 nm,4,2.30 GHz,35 W
6th Generation Intel® Core™ i5 Processors,14 nm,4,2.50 GHz,35 W
6th Generation Intel® Core™ i5 Processors,14 nm,4,3.20 GHz,65 W
6th Generation Intel® Core™ i5 Processors,14 nm,4,2.80 GHz,65 W
6th Generation Intel® Core™ i5 Processors,14 nm,4,2.70 GHz,35 W
6th Generation Intel® Core™ i5 Processors,14 nm,4,3.50 GHz,91 W
6th Generation Intel® Core™ i5 Processors,14 nm,4,3.20 GHz,65 W
6th Generation Intel® Core™ i5 Processors,14 nm,4,3.30 GHz,65 W
6th Generation Intel® Core™ i3 Processors,14 nm,2,2.00 GHz,15 W
6th Generation Intel® Core™ i3 Processors,14 nm,2,2.70 GHz,35 W
6th Generation Intel® Core™ i3 Processors,14 nm,2,3.20 GHz,35 W
6th Generation Intel® Core™ i3 Processors,14 nm,2,3.70 GHz,51 W
6th Generation Intel® Core™ i3 Processors,14 nm,2,2.70 GHz,28 W
6th Generation Intel® Core™ i3 Processors,14 nm,2,2.40 GHz,28 W
6th Generation Intel® Core™ i3 Processors,14 nm,2,1.90 GHz,25 W
6th Generation Intel® Core™ i3 Processors,14 nm,2,2.30 GHz,15 W
6th Generation Intel® Core™ i3 Processors,14 nm,2,2.70 GHz,35 W
6th Generation Intel® Core™ i3 Processors,14 nm,2,3.90 GHz,51 W
6th Generation Intel® Core™ i3 Processors,14 nm,2,3.30 GHz,35 W
6th Generation Intel® Core™ i3 Processors,14 nm,2,2.70 GHz,35 W
6th Generation Intel® Core™ i3 Processors,14 nm,2,3.80 GHz,51 W
6th Generation Intel® Core™ m Processors,14 nm,2,1.10 GHz,4.5 W
6th Generation Intel® Core™ m Processors,14 nm,2,1.10 GHz,4.5 W
6th Generation Intel® Core™ m Processors,14 nm,2,1.20 GHz,4.5 W
5th Generation Intel® Core™ i7 Processors,14 nm,2,2.00 GHz,15 W
5th Generation Intel® Core™ i7 Processors,14 nm,2,3.10 GHz,28 W
